S.No.,Code,District,Headquarters,Population (2011),Area (km2),Density (/km2)
1,AG,Agar Malwa,Agar,"5,71,275","2,785",205
2,AL,Alirajpur,Alirajpur,"7,28,677","3,182",229
3,AP,Anuppur,Anuppur,"7,49,521","3,747",200
4,AS,Ashoknagar,Ashoknagar,"8,44,979","4,674",181
5,BL,Balaghat,Balaghat,"17,01,156","9,229",184
6,BR,Barwani,Barwani,"13,85,659","5,432",256
7,BE,Betul,Betul,"15,75,247","10,043",157
8,BD,Bhind,Bhind,"17,03,562","4,459",382
9,BP,Bhopal,Bhopal,"23,68,145","2,772",854
10,BU,Burhanpur,Burhanpur,"7,56,993","3,427",221
11,CT,Chhatarpur,Chhatarpur,"17,62,857","8,687",203
12,CN,Chhindwara,Chhindwara,"20,90,306","11,815",177
13,DM,Damoh,Damoh,"12,63,703","7,306",173
14,DT,Datia,Datia,"7,86,375","2,694",292
15,DE,Dewas,Dewas,"15,63,107","7,020",223
16,DH,Dhar,Dhar,"21,84,672","8,153",268
17,DI,Dindori,Dindori,"7,04,218","7,427",94
18,GU,Guna,Guna,"12,40,938","6,485",194
19,GW,Gwalior,Gwalior,"20,30,543","5,465",445
20,HA,Harda,Harda,"5,70,302","3,339",171
21,NA,Hoshangabad,Hoshangabad,"12,40,975","6,698",185
22,IN,Indore,Indore,"32,72,335","3,898",839
23,JA,Jabalpur,Jabalpur,"24,60,714","5,210",472
24,JH,Jhabua,Jhabua,"10,24,091","6,782",285
25,KA,Katni,Katni,"12,91,684","4,947",261
26,EN,Khandwa,Khandwa,"13,09,443","7,349",178
27,WN,Khargone,Khargone,"18,72,413","8,010",233
29,ML,Mandla,Mandla,"10,53,522","5,805",182
30,MS,Mandsaur,Mandsaur,"13,39,832","5,530",242
32,MO,Morena,Morena,"19,65,137","4,991",394
33,NA,Narsinghpur,Narsinghpur,"10,92,141","5,133",213
34,NE,Neemuch,Neemuch,"8,25,958","4,267",194
35,â€“,Niwari,Niwari,"4,04,807","1,170",345
36,PA,Panna,Panna,"10,16,028","7,135",142
38,RS,Raisen,Raisen,"13,31,699","8,466",157
39,RG,Rajgarh,Rajgarh,"15,46,541","6,143",251
40,RL,Ratlam,Ratlam,"14,54,483","4,861",299
41,RE,Rewa,Rewa,"23,63,744","6,314",374
42,SG,Sagar,Sagar,"23,78,295","10,252",272
43,ST,Satna,Satna,"22,28,619","7,502",297
44,SR,Sehore,Sehore,"13,11,008","6,578",199
45,SO,Seoni,Seoni,"13,78,876","8,758",157
46,SH,Shahdol,Shahdol,"10,64,989","6,205",172
47,SJ,Shajapur,Shajapur,"15,12,353","6,196",244
48,SP,Sheopur,Sheopur,"6,87,952","6,585",104
49,SV,Shivpuri,Shivpuri,"17,25,818","10,290",168
50,SI,Sidhi,Sidhi,"11,26,515","10,520",232
51,SN,Singrauli,Waidhan,"11,78,132","5,672",208
52,TI,Tikamgarh,Tikamgarh,"14,44,920","5,055",286
53,UJ,Ujjain,Ujjain,"19,86,864","6,091",356
54,UM,Umaria,Umaria,"6,43,579","4,062",158
55,VI,Vidisha,Vidisha,"14,58,212","7,362",198
